endTime,artistName,trackName,msPlayed
2021-12-06 17:03,Bedroom Audio,ไม่บอกเธอ,930
2021-12-06 17:03,Mild,ถอนหายใจ,600
2021-12-06 17:03,Jason Derulo,Rest of Our Life,1180
2021-12-06 17:03,Andrey Azizov,Feel Like,1090
2021-12-06 17:03,Two Popetorn,โปรดอย่ามาสงสาร,780
2021-12-06 17:03,ศิรศักดิ์ อิทธิพลพานิช (ปิงปอง),อยู่คนเดียวอย่างนี้ก็ดี,223283
2021-12-06 17:03,Green Day,Wake Me up When September Ends,1330
2021-12-06 17:03,Noah Kahan,Cynic,1230
2021-12-06 17:03,Passion Pit,Little Secrets,1370
2021-12-06 17:03,Taylor Swift,exile,1090
2021-12-06 17:06,Miley Cyrus,7 Things - Single Version,213453
2021-12-06 17:07,Liam Payne,Strip That Down,640
2021-12-06 17:07,Sam Smith,Burning,2800
2021-12-06 17:07,Post Malone,Circles,1210
2021-12-06 17:07,Moderndog,"Today, Last Year",1000
2021-12-06 17:07,เฟย์ ฟาง แก้ว,คำถาม My Question ?,1230
2021-12-06 17:07,Maggie Rogers,Alaska - Tycho Remix,1190
2021-12-06 17:07,Loote,Your Side Of The Bed,15916
2021-12-06 17:09,Post Malone,Circles,157870
2021-12-06 17:10,Liam Payne,Strip That Down,2720
2021-12-06 17:10,One Direction,One Thing,740
2021-12-06 17:10,Zom Marie,ถ้าบอกว่าไม่ไหว (เธอจะกลับมาไหม),1960
2021-12-06 17:10,Bird Thongchai,ช่วยรับที,900
2021-12-06 17:10,Bleachers,Don't Take The Money,1310
2021-12-06 17:13,Eminem,Love The Way You Lie,1170
2021-12-06 17:13,Elohim,Sleepy Eyes,1010
2021-12-06 17:13,Miley Cyrus,Wrecking Ball,1030
2021-12-06 17:13,Buddha Bless,ลืมไปก่อน,1630
2021-12-06 17:13,Loote,Exes,1720
2021-12-06 17:13,The Spacies,Say - Valoriz Remix,1790
2021-12-06 17:13,JoJo,Leave (Get Out) - 2018,219000
2021-12-06 17:13,Justin Timberlake,SexyBack (feat. Timbaland),900
2021-12-06 17:13,Pacific,WYAF,1290
2021-12-06 17:13,The All-American Rejects,Dance Inside,1320
2021-12-06 17:13,Shawn Mendes,Lost In Japan,1750
2021-12-06 17:13,Bodyslam,ความรักทำให้คนตาบอด,740
2021-12-06 17:14,Lewis Capaldi,Let It Roll,1190
2021-12-06 17:14,JETSET'ER,ไม่ใกล้ไม่ไกล - เพลงประกอบละคร มนต์จันทรา,1210
2021-12-06 17:14,Aof Pongsak,จากคนรักเก่า,1080
2021-12-06 17:14,Bodyslam,คนที่ถูกรัก,720
2021-12-06 17:14,Anna of the North,Lovers,1070
2021-12-06 17:14,WANYAi,อยู่คนเดียว (Loner),710
2021-12-06 17:14,Singto Numchok,อยู่ต่อเลยได้ไหม,1500
2021-12-06 17:14,Trevor Daniel,Past Life (with Selena Gomez),1180
2021-12-06 17:14,Yai Monotone,Stay,1230
2021-12-06 17:14,Van Morrison,Days Like This,12930
2021-12-06 17:14,Shallou,You and Me,820
2021-12-06 17:14,Andy Grammer,Smoke Clears,1040
2021-12-06 17:14,Wincent Weiss,Feuerwerk,1110
2021-12-06 17:14,Cosmo's Midnight,Down for You,1220
2021-12-06 17:14,RHODES,Breathe,1000
2021-12-06 17:14,Twin Atlantic,Serious Underground Dance Vibes,1810
2021-12-06 17:14,Savage Garden,I Knew I Loved You,1330
2021-12-06 17:14,Petit Biscuit,I Leave Again,760
2021-12-06 17:14,Christian French,sweet home,1300
2021-12-06 17:14,Tattoo Colour,ฟ้า,740
2021-12-06 17:14,Wan Thanakrit,ระยะปลอดภัย,1670
2021-12-06 17:14,Billie Eilish,everything i wanted,1720
2021-12-06 17:14,The Fray,You Found Me,1050
